"SFP","CWE","Show?","Cppcheck","RATS","Splint","Jlint","Findbugs","Count C/C++","Count Java","RowNum"
"SFP-19","CWE-364","Yes","-",0,"-","-","-",1,0,94
"SFP-19","CWE-413","Yes","-","-","-",0,0,0,2,95
"SFP-19","CWE-567","Yes","-","-","-","-",0,0,1,96
"SFP-19","CWE-609","Yes","-","-","-","-",0,0,1,97
"SFP-19","CWE-662","Yes","-","-","-",0,0,0,2,98
"SFP-19","CWE-667","Yes","-","-","-","-",0,0,1,99
"SFP-2","CWE-561","Yes",0,"-",0,0,0,2,2,100
"SFP-2","CWE-563","Yes",0,"-",0,"-",0,2,1,101
"SFP-20","CWE-367","Yes","-",0,0,"-","-",2,0,102
"SFP-21","CWE-585","Yes","-","-","-","-",0,0,1,103
"SFP-23","CWE-214","Yes","-",0,"-","-","-",1,0,104
"SFP-23","CWE-244","Yes","-",0,"-","-","-",1,0,105
"SFP-23","CWE-315","Yes","-","-","-","-",0,0,1,106
"SFP-23","CWE-319","Yes","-","-","-","-",0,0,1,107
"SFP-23","CWE-375","Yes","-","-","-","-",0,0,1,108
"SFP-23","CWE-495","Yes","-","-","-","-",0,0,1,109
"SFP-23","CWE-607","Yes","-","-","-","-",0,0,1,110
"SFP-24","CWE-113","Yes","-","-","-","-",0,0,1,111
"SFP-24","CWE-134","Yes",0,0,0,"-","-",3,0,112
"SFP-24","CWE-158","Yes","-","-","-","-",0,0,1,113
"SFP-24","CWE-601","Yes","-","-","-","-",0,0,1,114
"SFP-24","CWE-611","Yes","-","-","-","-",0,0,1,115
"SFP-24","CWE-643","Yes","-","-","-","-",0,0,1,116
"SFP-24","CWE-77","Yes","-",0,"-","-","-",1,0,117
"SFP-24","CWE-78","Yes","-","-","-","-",0,0,1,118
"SFP-24","CWE-79","Yes","-","-","-","-",0,0,1,119
"SFP-24","CWE-80","Yes","-","-","-","-",0,0,1,120
"SFP-24","CWE-89","Yes","-","-","-","-",0,0,1,121
"SFP-24","CWE-90","Yes","-","-","-","-",0,0,1,122
"SFP-24","CWE-95","Yes","-",0,"-","-","-",1,0,123
"SFP-24","CWE-99","Yes","-",0,"-","-","-",1,0,124
"SFP-25","CWE-15","Yes","-",0,"-","-","-",1,0,125
"SFP-25","CWE-20","Yes","-",0,"-","-",0,1,1,126
"SFP-25","CWE-454","Yes","-",0,0,"-","-",2,0,127
